flight_id,flight_no,city_depart,city_arrive,scheduled_departure,scheduled_arrival,fl_month,flight_minute,model,class_available,seat_available,ticket_no,class_occupied,seat_occupied,ticket_price
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,5A,5432052087   ,Economy,5A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,6E,5432333311   ,Economy,6E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,17A,5432333312   ,Economy,17A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,11E,5432333315   ,Economy,11E,13400.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,11A,5432333336   ,Economy,11A,13400.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,7B,5432333337   ,Economy,7B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,16F,5432333338   ,Economy,16F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,7E,5432333365   ,Economy,7E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,17D,5432333366   ,Economy,17D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,14E,5432333394   ,Economy,14E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,21C,5432333402   ,Economy,21C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,6D,5432333404   ,Economy,6D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,17F,5432349156   ,Economy,17F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,23F,5432349399   ,Economy,23F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,8D,5432349463   ,Economy,8D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,12D,5432349511   ,Economy,12D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,21F,5432349513   ,Economy,21F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,15B,5432349520   ,Economy,15B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,4E,5432349536   ,Economy,4E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,15E,5432349537   ,Economy,15E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,10C,5432349538   ,Economy,10C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,4B,5432349539   ,Economy,4B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,4F,5432349540   ,Economy,4F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,7F,5432349542   ,Economy,7F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,9C,5432349546   ,Economy,9C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,13F,5432349547   ,Economy,13F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,12A,5432349551   ,Economy,12A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,18A,5432349552   ,Economy,18A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,6A,5432349553   ,Economy,6A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,11C,5432349561   ,Economy,11C,13400.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,21A,5432349569   ,Economy,21A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,7C,5432349589   ,Economy,7C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,7A,5432349590   ,Economy,7A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,20F,5432349591   ,Economy,20F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,4C,5432349598   ,Economy,4C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,9F,5432349599   ,Economy,9F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,9D,5432349600   ,Economy,9D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,14F,5432349605   ,Economy,14F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,22F,5432349614   ,Economy,22F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,22A,5432349615   ,Economy,22A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,8E,5432349616   ,Economy,8E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,19B,5432349617   ,Economy,19B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,16E,5432349621   ,Economy,16E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,14B,5432349631   ,Economy,14B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,20E,5432349635   ,Economy,20E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,8C,5432349644   ,Economy,8C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,16C,5432349657   ,Economy,16C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,21D,5432349658   ,Economy,21D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,12C,5432349659   ,Economy,12C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,9E,5432349683   ,Economy,9E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,6B,5432349684   ,Economy,6B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,13D,5432349696   ,Economy,13D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,18E,5432349718   ,Economy,18E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,12B,5432349719   ,Economy,12B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,18C,5432349743   ,Economy,18C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,5E,5432362673   ,Economy,5E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,8A,5432362676   ,Economy,8A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,16B,5434147184   ,Economy,16B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,5B,5434147185   ,Economy,5B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,15F,5434147186   ,Economy,15F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,20B,5434147187   ,Economy,20B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,17C,5434147188   ,Economy,17C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,22B,5434147190   ,Economy,22B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,16D,5434147191   ,Economy,16D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,14D,5434147192   ,Economy,14D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,19C,5434147193   ,Economy,19C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,13B,5434147194   ,Economy,13B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,4D,5434147195   ,Economy,4D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,22E,5434147196   ,Economy,22E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,17E,5435171141   ,Economy,17E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,17B,5435171142   ,Economy,17B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,6F,5435171143   ,Economy,6F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,6C,5435171144   ,Economy,6C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,22C,5435171145   ,Economy,22C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,14A,5435171146   ,Economy,14A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,13C,5435171147   ,Economy,13C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,20D,5435171148   ,Economy,20D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,22D,5435171149   ,Economy,22D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,5F,5435171150   ,Economy,5F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,7D,5435171151   ,Economy,7D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,11B,5435171153   ,Economy,11B,13400.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,5D,5435171154   ,Economy,5D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,13E,5435171155   ,Economy,13E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,20C,5435171156   ,Economy,20C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,11F,5435171157   ,Economy,11F,13400.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,23B,5435171159   ,Economy,23B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,23E,5435171161   ,Economy,23E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,13A,5435171162   ,Economy,13A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,18D,5435171163   ,Economy,18D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,10E,5435171164   ,Economy,10E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,23A,5435171166   ,Economy,23A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,19F,5435171167   ,Economy,19F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,5C,5435171168   ,Economy,5C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,18F,5435171169   ,Economy,18F,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,19D,5435171170   ,Economy,19D,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,16A,5435489475   ,Economy,16A,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,19E,5435489476   ,Economy,19E,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,8B,5435489478   ,Economy,8B,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,15C,5435722640   ,Economy,15C,12200.00
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,20A,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,12F,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,8F,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,12E,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,10B,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,9A,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,21B,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,23C,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,18B,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,21E,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,4A,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,15A,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,23D,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,11D,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,14C,,,,
136119,PG0252,Anapa,Moscow,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,1.0,100.0,Boeing 737-300,Economy,19A,,,,
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,1D,5432352039   ,Business,1D,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,3C,5432352075   ,Business,3C,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,2F,5432352143   ,Business,2F,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,2A,5432352272   ,Business,2A,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,1A,5432352289   ,Business,1A,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,2D,5432352325   ,Business,2D,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,1C,5434147811   ,Business,1C,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,1F,5435172614   ,Business,1F,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,2C,5435172617   ,Business,2C,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,3F,5435172618   ,Business,3F,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,3D,5435172627   ,Business,3D,36600.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Business,3A,,,,
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,7F,5432052247   ,Economy,7F,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,9F,5432052248   ,Economy,9F,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,23D,5432052249   ,Economy,23D,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,22A,5432333930   ,Economy,22A,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,7A,5432333931   ,Economy,7A,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,9C,5432333935   ,Economy,9C,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,4F,5432333946   ,Economy,4F,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,16E,5432333961   ,Economy,16E,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,4A,5432333966   ,Economy,4A,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,14C,5432333983   ,Economy,14C,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,23C,5432333988   ,Economy,23C,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,7B,5432334030   ,Economy,7B,12200.00
136120,PG0252,Anapa,Moscow,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2.0,100.0,Boeing 737-300,Economy,16C,5432334031   ,Economy,16C,12200.00
